Gard ID,identifiers,Number of Matches,QID,Match Gard ID
9232,OMIM:207950 | ORPHANET:1136,1,Q1071707 | ,False
9233,OMIM:118420 | UMLS:C0750931,1,Q55780415 | ,False
9234,,0,,
6037,UMLS:C0008043,1,Q1433936 | ,False
6038,UMLS:C0008055,0,,
10685,UMLS:C0267494,0,,
6039,OMIM:308050 | ORPHANET:139 | UMLS:C0265267,1,Q3508568 | ,True
9240,UMLS:C0023452 | ORPHANET:513,1,Q180664 | ,False
12889,ORPHANET:209908 | OMIM:602081,1,Q17118937 | ,True
9306,UMLS:C0278600,1,Q18557236 | ,True
6040,UMLS:C0236791,1,Q388722 | ,True
13571,ICD 10:E51.8 | ORPHANET:293955 | OMIM:614458,1,Q55784328 | ,False
9331,OMIM:114550 | UMLS:C0279606 | ORPHANET:33402,2,Q1148337 | Q55787710 | ,
8735,ORPHANET:247667 | OMIM:241510,1,Q32144690 | ,True
9345,NCI Thesaurus:C118815,0,,
9361,,0,,
9412,OMIM:300100 | ORPHANET:139396,2,Q55345732 | Q366964 | ,
7171,ORPHANET:171439,1,Q56013756 | ,True
13658,OMIM:617672,0,,
4766,UMLS:C0036346,0,,
10559,ORPHANET:264665,1,Q55786730 | ,True
1274,OMIM:311895 | ORPHANET:2888 | UMLS:C2931064,1,Q55782602 | ,True
1277,UMLS:C2931066,0,,
10041,OMIM:608572 | ORPHANET:1200 | UMLS:C1837822,1,Q55999785 | ,True
30,,0,,
6043,ORPHANET:173 | UMLS:C0008354,1,Q12090 | ,True
9803,OMIM:615878 | UMLS:C2931067,2,Q60195068 | Q3682587 | ,
10422,UMLS:C0008373,1,Q558230 | ,True
8500,OMIM:215030 | UMLS:C0549472,1,Q55781743 | ,True
12099,OMIM:278000 | ORPHANET:75234,3,Q2622714 | Q53660462 | Q6710283 | ,
6047,UMLS:C0008441,1,Q1076053 | ,True
6048,OMIM:600668 | UMLS:C1833499,3,Q55950198 | Q55999604 | Q559082 | ,
1292,OMIM:118600 | ORPHANET:1416 | UMLS:C0856830,2,Q55950198 | Q559082 | ,
10139,OMIM:118610 | UMLS:C1861580,2,Q55950199 | Q559082 | ,
10077,OMIM:609441 | UMLS:C1836182,3,Q9190289 | Q2718677 | Q55999831 | ,
914,OMIM:215045 | ORPHANET:50945 | UMLS:C1859148,1,Q5104520 | ,True
10613,OMIM:215050 | UMLS:C1859147,2,Q13566985 | Q3251367 | ,
1294,,0,,
1296,OMIM:302950 | ORPHANET:79345,2,Q18987139 | Q8041561 | ,
1298,ORPHANET:79344,1,Q18649173 | ,False
8542,OMIM:215105 | ORPHANET:93442 | UMLS:C1859132,2,Q55998559 | Q1076060 | ,
6050,,0,,
1302,,0,,
1299,ORPHANET:1424,0,,
11009,ORPHANET:280586 | OMIM:614078,1,Q55784094 | ,False
1300,OMIM:200700 | ORPHANET:2098 | UMLS:C0265260,1,Q9190289 | ,False
6051,UMLS:C0008449,1,Q3251367 | ,False
6052,UMLS:C0936248,1,Q1076078 | ,True
6055,OMIM:215300 | ORPHANET:55880 | UMLS:C0008479,1,Q1076087 | , has more than one gard id
12845,OMIM:616368,1,Q55784895 | ,False
10636,UMLS:C1322252,2,Q18556073 | Q18556072 | ,
1303,OMIM:215400 | ORPHANET:178 | UMLS:C0008487,1,Q1076389 | ,True
6057,UMLS:C0152113,0,,
9606,OMIM:601372 | UMLS:C1832422,1,Q55783099 | ,False
